bell_state,noise_type,p,S,above_classical
Psi+,amplitude_damping,0.08163265306122448,2.482089109471146,True
Psi+,amplitude_damping,0.09183673469387754,2.438796857561765,True
Psi+,amplitude_damping,0.1020408163265306,2.395504605652385,True
Psi+,amplitude_damping,0.11224489795918366,2.3522123537430044,True
Psi+,amplitude_damping,0.12244897959183673,2.308920101833624,True
Psi+,amplitude_damping,0.13265306122448978,2.2656278499242433,True
Psi+,amplitude_damping,0.14285714285714285,2.2223355980148636,True
Psi+,amplitude_damping,0.1530612244897959,2.1790433461054826,True
Psi+,amplitude_damping,0.16326530612244897,2.1357510941961024,True
Psi+,amplitude_damping,0.17346938775510204,2.092458842286722,True
Psi+,amplitude_damping,0.18367346938775508,2.0491665903773413,True
Psi+,amplitude_damping,0.19387755102040816,2.0058743384679607,True
Psi+,amplitude_damping,0.2040816326530612,1.9625820865585801,False
Psi+,amplitude_damping,0.21428571428571427,1.9192898346492002,False
Psi+,amplitude_damping,0.22448979591836732,1.8759975827398194,False
Psi+,amplitude_damping,0.2346938775510204,1.8327053308304386,False
Psi+,amplitude_damping,0.24489795918367346,1.7894130789210578,False
Psi+,amplitude_damping,0.25510204081632654,1.7461208270116781,False
Psi+,amplitude_damping,0.26530612244897955,1.702828575102298,False
Psi+,amplitude_damping,0.2755102040816326,1.6595363231929177,False
Psi+,amplitude_damping,0.2857142857142857,1.6162440712835369,False
Psi+,amplitude_damping,0.29591836734693877,1.572951819374156,False
Psi+,amplitude_damping,0.3061224489795918,1.529659567464776,False
Psi+,amplitude_damping,0.31632653061224486,1.4863673155553951,False
Psi+,amplitude_damping,0.32653061224489793,1.443075063646015,False
Psi+,amplitude_damping,0.336734693877551,1.399782811736634,False
Psi+,amplitude_damping,0.3469387755102041,1.3564905598272543,False
Psi+,amplitude_damping,0.3571428571428571,1.3131983079178735,False
Psi+,amplitude_damping,0.36734693877551017,1.2699060560084932,False
Psi+,amplitude_damping,0.37755102040816324,1.2266138040991126,False
Psi+,amplitude_damping,0.3877551020408163,1.183321552189732,False
Psi+,amplitude_damping,0.39795918367346933,1.1400293002803523,False
Psi+,amplitude_damping,0.4081632653061224,1.0967370483709713,False
Psi+,amplitude_damping,0.4183673469387755,1.0534447964615912,False
Psi+,amplitude_damping,0.42857142857142855,1.0101525445522102,False
Psi+,amplitude_damping,0.4387755102040816,0.9668602926428302,False
Psi+,amplitude_damping,0.44897959183673464,0.9235680407334499,False
Psi+,amplitude_damping,0.4591836734693877,0.8802757888240692,False
Psi+,amplitude_damping,0.4693877551020408,0.8369835369146893,False
Psi+,amplitude_damping,0.47959183673469385,0.7936912850053084,False
Psi+,amplitude_damping,0.4897959183673469,0.7503990330959274,False
Psi+,amplitude_damping,0.5,0.7071067811865477,False
Psi-,depolarizing,0.0,2.828427124746189,True
